corr_paths,pval_paths,rank_paths,null_1,bay_paths,mark_paths,null_2
5.111944345,3.427161403,2.472756449,1.924279286,0.477121255,3.870228279,1.301029996
2.924795996,2.357934847,0,3.528788192,2.660865478,4.102159183,2.798650645
5.111944345,3.29710365,3.308350949,2.445604203,4.989498762,2.411619706,2.421603927
0.477121255,2.622214023,4.034387784,2.894869657,3.460446784,5.112273122,3.769598848
3.460446784,2.161368002,2.342422681,4.64936407,4.191171456,2.269512944,2.831869774
3.439016728,4.261143868,3.026941628,0,4.014058277,3.057285644,5.145149772
4.151032582,4.648018297,3.86711378,4.121986379,3.875582104,2.117271296,0
3.964212473,3.617419747,2.890979597,2.354108439,2.278753601,4.724652641,3.632356046
1.176091259,2.667452953,3.904336792,0,3.063708559,2.922725458,0
2.559906625,4.64936407,3.710032699,0.954242509,4.485920078,3.165244326,1.799340549
