,PID_HNF3B_PATHWAY,ST_STAT3_PATHWAY,REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,REACTOME_AMYLOIDS,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,REACTOME_ION_CHANNEL_TRANSPORT,REACTOME_GPCR_LIGAND_BINDING,REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION,REACTOME_PLATELET_CALCIUM_HOMEOSTASIS
0,19521719,35151646,35202987,35167073,35192869,35183996,35199547,35151663,35106626,35202915
1,10868949,35060126,35202915,35164285,35184377,35181349,35190756,35051439,35090949,35200143
2,10868948,34991691,35202848,35153733,35172613,35179568,35185641,34986353,34970582,35198928
3,,34894232,35202251,35133388,35172533,35170653,35173351,34934197,34854403,35192869
4,,34888013,35201937,35133014,35172228,35165832,35167073,34822948,34853204,35192423
5,,34784849,35200708,35131375,35171354,35164615,35158330,34497585,34848753,35189343
6,,34697343,35200621,35104494,35170435,35159267,35152582,34408727,34803693,35187097
7,,34662550,35200143,35104126,35170060,35158330,35146402,34393108,34775536,35187055
8,,34647335,35199981,35086942,35164215,35151650,35091876,34233623,34660890,35185019
9,,34645391,35199547,35074667,35164118,35144596,35027069,34140262,34635547,35184708
10,,34583224,35199402,35069149,35158234,35131328,35017043,34054727,34576151,35181349
11,,34582743,35199097,35060728,35149238,35130556,35016479,34045505,34531242,35180823
12,,34520253,35198947,35056780,35145895,35128870,35008764,34016966,34507389,35180818
13,,34479991,35198924,35055081,35145791,35098884,35004918,34010766,34463268,35178609
14,,34478692,35197086,35024053,35144649,35085251,35001304,33959145,34456865,35177945
15,,34455488,35196519,34999113,35138995,35056557,34999677,33935974,34411554,35174437
16,,34445501,35196393,34987125,35129868,35051439,34997875,33827531,34351930,35172228
17,,34426871,35195595,34973981,35125878,35046891,34955555,33786607,34259856,35171448
18,,34418601,35195497,34969939,35123505,35027069,34939534,33682344,34228132,35170612
19,,34413670,35194770,34967205,35106636,35020253,34925584,33548803,34224699,35169843
20,,34406761,35193925,34961464,35090949,34987053,34925562,33540469,34198047,35167088
21,,34379650,35193889,34951390,35089221,34986201,34922198,33495605,34192533,35166181
22,,34367309,35193565,34951366,35084363,34984919,34902976,33369025,34192532,35165597
23,,34358862,35193549,34941464,35083246,34968466,34900545,33316288,34171158,35164510
24,,34269008,35192934,34941035,35079935,34967205,34898156,33199639,34137614,35160113
25,,34233296,35192869,34912300,35073723,34953892,34884501,33172888,34121140,35158846
